,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,FT_per,twoP_per,TP_per,yr,ht,ast/tov,pick,drtg,bpm,mp,oreb,dreb,ast,stl,blk,pts,role,drafted
5490,Savalace Townsend,Arkansas Pine Bluff,33,93.1,98.8,25.5,45.3,51.48,0.733,0.434,0.34,4,185,1.05101525,0.0,101.657,-0.20092000000000002,37.3636,1.1515,3.5455,3.1212,2.2121,0.6667000000000001,16.0303,Combo G,No
5491,Brock Motum,Washington St.,32,87.7,104.4,28.9,50.3,54.18,0.741,0.503,0.336,4,205,0.45457567,0.0,99.8867,1.9767700000000001,35.3438,1.9062000000000001,4.375,1.0938,0.625,0.8125,18.6562,Stretch 4,No
5496,Christopher Taylor,Brown,23,17.1,96.2,9.7,53.3,57.55,0.8,0.533,0.0,4,203,1.18168506,0.0,108.845,-2.96957,8.0435,0.39130000000000004,0.6087,0.5652,0.1739,0.1739,0.8696,PF/C,No
5497,Gary Redus,South Alabama,26,73.6,102.4,16.4,43.3,49.03,0.803,0.388,0.333,4,198,1.5263768999999998,0.0,107.576,-1.03591,29.7308,0.9231,2.8462,2.2308,1.0385,0.8462000000000001,8.5,Wing G,No
5498,Jayson Guerrier,Albany,32,30.3,96.2,17.6,46.0,48.76,0.789,0.4,0.329,4,193,0.6818909200000001,0.0,101.055,-2.19162,13.3125,0.5312,1.0312,0.46880000000000005,0.1562,0.0625,3.7188,Wing G,No
5499,Nikola Bundalo,SIU Edwardsville,25,59.0,92.2,20.1,55.3,57.67,0.706,0.553,0.0,4,208,0.09803922,0.0,109.955,-7.18922,24.08,1.3599999999999999,4.24,0.2,0.44,0.88,8.96,C,No
5500,John Lickliter,Iowa,21,13.6,89.0,16.9,42.5,45.51,0.833,0.4,0.28600000000000003,1,180,1.3636883499999999,0.0,109.234,-4.60753,8.3333,0.0476,0.2857,0.7143,0.2381,0.0,1.8571,Scoring PG,No
5501,Nick Russell,SMU,37,81.3,98.8,18.9,46.2,52.51,0.802,0.426,0.358,4,193,1.32223324,0.0,97.4871,1.62427,32.5135,0.2432,3.1892,3.2162,1.027,0.2432,9.9189,Combo G,No
5502,Rodney McGruder,Kansas St.,34,84.6,110.9,23.9,49.7,52.68,0.748,0.49,0.34,4,193,1.18963607,0.0,98.0547,6.80545,33.8529,2.1176,3.2353,2.0294,1.2647,0.2647,15.7647,Wing G,No
5503,Curtis Kelly,Kansas St.,24,47.2,97.5,23.5,53.6,54.03,0.535,0.531,1.0,4,205,0.61904762,0.0,94.3906,5.91455,25.9583,2.2083,3.4583,1.625,0.7917000000000001,1.375,10.7083,PF/C,No
5504,Martavious Irving,Kansas St.,32,49.2,105.3,15.1,49.0,50.95,0.739,0.359,0.391,4,185,2.0,0.0,101.335,2.09962,20.9062,0.375,1.4062000000000001,2.125,0.5312,0.0625,5.1562,Scoring PG,No
5505,Jordan Henriquez-Roberts,Kansas St.,33,33.7,106.1,16.0,47.0,48.95,0.537,0.47000000000000003,0.0,2,213,0.6665444500000001,0.0,91.009,6.28753,13.4848,1.6667,2.5758,0.36360000000000003,0.2424,1.2121,3.7273,C,No
5506,Jordan Henriquez,Kansas St.,32,37.5,100.5,19.6,50.4,48.67,0.4,0.504,0.0,4,213,0.51996927,0.0,90.4948,7.16587,15.9375,2.2188,2.7188,0.4062,0.21880000000000002,2.0,4.875,C,No
5507,Marcus Wells,Winston Salem St.,25,53.9,75.5,20.6,34.5,40.58,0.6910000000000001,0.41200000000000003,0.108,1,185,0.78571428,0.0,107.717,-7.5383700000000005,21.56,0.8,1.3599999999999999,1.76,0.64,0.04,5.36,Combo G,No
5508,Tim Frazier,Penn St.,34,87.0,107.9,25.9,46.3,53.59,0.785,0.47100000000000003,0.291,4,185,1.97823279,0.0,104.204,5.39043,35.1765,0.9118,3.5294,5.3529,1.5588000000000002,0.17650000000000002,14.9412,Scoring PG,No
5509,Bill Edwards,Miami OH,12,18.5,96.2,23.6,43.7,47.46,1.0,0.442,0.28600000000000003,4,198,1.27271735,0.0,107.578,-3.16374,18.6667,0.8333,2.5,1.1667,0.0833,0.25,7.3333,Stretch 4,No
5510,Sasa Borovnjak,Penn St.,31,58.3,106.0,17.2,54.1,56.71,0.667,0.544,0.0,3,205,0.44119258,0.0,106.787,0.744336,23.5161,1.3871,2.1935000000000002,0.4839,0.4839,0.4194,7.4193999999999996,C,No
5512,Trent Blakely,Cal St. Bakersfield,29,84.0,103.9,22.0,45.5,48.36,0.648,0.432,0.319,4,193,0.38891574,0.0,111.028,-3.16381,33.8966,1.3793,3.1379,0.4828,0.6552,0.27590000000000003,15.1724,Wing G,No
5513,Cory Brown,Cal St. Bakersfield,28,34.3,95.9,10.5,57.1,61.32,0.8240000000000001,0.556,0.5,4,205,0.13038715,0.0,109.986,-3.3161,13.8571,0.8929,1.3214000000000001,0.1071,0.2857,0.8571000000000001,2.5,PF/C,No
5514,Brendan McKillop,Davidson,32,75.5,116.4,15.0,54.8,55.82,0.75,0.6000000000000001,0.362,4,185,1.9210104700000001,0.0,106.083,2.57358,30.1875,0.6562,1.5937999999999999,2.2812,0.6562,0.09380000000000001,9.4688,Combo G,No
5515,Michael Grace,Yale,28,42.0,93.0,20.3,41.3,47.75,0.78,0.378,0.318,4,182,1.46148331,0.0,105.607,-3.07288,17.7143,0.0714,1.3214000000000001,2.0357,0.6786,0.0714,5.1071,Scoring PG,No
5516,Derrick Favors,Georgia Tech,35,69.2,109.0,21.8,61.5,62.31,0.628,0.617,0.0,1,208,0.38374508,3.0,88.5618,8.92075,27.7714,3.0571,5.5714,0.9429000000000001,0.8857,2.0571,12.5714,C,Yes
5517,Sean Johnson,Duquesne,30,63.1,98.5,25.3,42.0,49.29,0.759,0.39,0.317,4,185,0.98109466,0.0,110.039,-1.5671599999999999,25.4667,0.8333,2.2667,1.7333,0.6667000000000001,0.30000000000000004,11.5,Wing G,No
5518,Mfon Udofia,Georgia Tech,31,73.6,98.4,17.8,46.2,49.34,0.642,0.40700000000000003,0.34500000000000003,4,187,1.71696785,0.0,98.0828,1.31493,29.5484,0.5161,2.1935000000000002,2.9355,0.8065,0.0,8.3226,Combo G,No
5519,Glen Rice,Georgia Tech,21,50.4,103.9,25.7,52.5,53.86,0.606,0.541,0.333,3,195,1.0,35.0,94.06,6.43691,29.9048,1.9524,4.7619,2.2857,1.3333,0.8571000000000001,13.0476,Wing F,Yes
5520,Brian Oliver,Seton Hall,32,61.7,110.2,18.4,55.7,57.61,0.8,0.354,0.41500000000000004,4,198,0.96880001,0.0,104.527,3.78331,26.7188,0.5,2.9688,0.9688,0.875,0.2812,10.4062,Wing G,No
5521,Demetrece Young,Pacific,29,90.0,110.7,17.0,54.1,57.7,0.882,0.53,0.366,4,180,2.03573278,0.0,105.728,0.744923,36.3103,0.27590000000000003,1.8966,3.931,0.7931,0.0,10.2759,Scoring PG,No
5522,Andre Marhold,Duquesne,29,54.5,91.2,16.8,51.8,49.37,0.375,0.518,0.0,4,198,0.39022492000000003,0.0,105.877,-0.656395,22.7586,2.1034,3.4828,0.5517000000000001,0.1724,1.7241,5.9655000000000005,PF/C,No
5525,Michael Webb,Prairie View A&M,22,23.8,109.2,10.3,64.5,62.97,0.56,0.645,0.0,2,200,0.2,0.0,105.046,-3.49709,12.2727,1.0,0.8182,0.09090000000000001,0.2273,0.4545,2.4545,PF/C,No
5526,Duwan Kornegay,Prairie View A&M,28,51.6,94.2,17.1,44.0,45.41,0.55,0.435,0.297,4,195,0.69564158,0.0,102.315,-3.79109,20.9286,1.5714000000000001,2.9643,0.5714,0.5357000000000001,0.21430000000000002,6.0,Wing F,No
5527,Grady Green,Prairie View A&M,6,6.4,57.1,25.0,32.7,32.93,0.333,0.35000000000000003,0.167,3,198,0.0,0.0,96.2106,-16.7084,11.1667,0.33330000000000004,1.0,0.0,0.16670000000000001,0.5,3.1667,Wing F,No
5528,Brandon Webb,Prairie View A&M,28,50.4,92.2,26.0,58.3,56.65,0.486,0.583,0.0,4,200,0.27694495,0.0,98.6305,-1.61355,20.4286,2.1429,2.8929,0.6429,0.5714,1.3571,9.2143,PF/C,No
5529,Alex Garcia-Mendoza,Arkansas Little Rock,34,64.3,106.3,18.8,48.9,54.9,0.8260000000000001,0.437,0.41200000000000003,4,190,0.83331987,0.0,106.32,-0.44218199999999996,26.0,0.9706,1.8529,1.0294,0.6765,0.11760000000000001,9.0,Wing G,No
5530,Jordon Crawford,Bowling Green,30,86.5,90.4,29.2,45.3,47.62,0.758,0.442,0.315,4,167,1.18018922,0.0,101.588,-1.45791,35.1667,0.5667,1.9,4.3667,1.7000000000000002,0.0,14.9,Scoring PG,No
5532,T. Vazquez-Simmons,Canisius,30,52.5,99.7,14.1,42.7,47.56,0.765,0.447,0.24,4,200,0.91428814,0.0,97.8992,4.19632,21.0,2.3667,2.7,1.0667,0.4667,2.0667,4.0,PF/C,No
5534,Oleg Kovalov,IPFW,26,23.5,105.2,20.4,57.8,60.82,0.733,0.464,0.429,4,203,0.400026,0.0,108.457,-3.01382,10.5769,0.4615,0.5769000000000001,0.30770000000000003,0.0,0.2308,4.2692,Stretch 4,No
5535,Nikola Cicic,Arkansas Little Rock,13,7.1,71.1,17.6,27.3,31.38,0.75,0.6000000000000001,0.11800000000000001,1,195,1.75008124,0.0,108.547,-5.78903,6.1538,0.0,0.3846,0.5385,0.30770000000000003,0.07690000000000001,1.1538,Stretch 4,No
5536,Ryan Regis,NJIT,26,40.5,79.5,12.9,46.7,51.2,0.656,0.467,0.0,4,198,0.11761107,0.0,102.527,-5.37575,17.7692,0.9615,2.1538,0.15380000000000002,0.3846,0.8846,2.9615,PF/C,No
5537,Patrick Bade,Purdue,23,11.5,77.3,12.9,25.0,30.8,0.545,0.25,0.0,2,203,0.42852447,0.0,94.7722,-2.21919,6.8261,0.6522,0.8696,0.13040000000000002,0.13040000000000002,0.08700000000000001,0.7826000000000001,C,No
5538,Tate Kennings,Winston Salem St.,16,5.6,19.9,18.4,7.7,6.93,0.0,0.167,0.0,1,177,0.42857143000000003,0.0,105.051,-15.0057,3.5,0.0625,0.1875,0.1875,0.1875,0.0,0.125,Scoring PG,No
5539,Sam Johnson,Winston Salem St.,18,9.1,60.3,10.7,28.6,26.57,0.231,0.28600000000000003,0.0,1,203,0.5,0.0,104.855,-6.13739,5.0556,0.4444,0.3889,0.1111,0.16670000000000001,0.1111,0.3889,C,No
5544,Ned Cox,Evansville,34,72.4,108.2,19.2,49.5,52.69,0.833,0.42,0.393,4,185,2.62490454,0.0,103.571,2.09799,30.1176,0.3529,1.6471,3.0882,0.7353000000000001,0.17650000000000002,10.6765,Scoring PG,No
5545,Colt Ryan,Evansville,33,77.7,111.6,31.7,48.5,55.76,0.896,0.436,0.396,4,195,1.83563119,0.0,99.65,7.28503,33.3333,0.7576,2.9091,4.0606,1.4848,0.0606,20.5455,Scoring PG,No
5546,Monie Hudson,Evansville,24,13.7,102.6,12.6,44.4,47.04,0.714,0.538,0.261,3,182,3.00120041,0.0,107.595,-2.32579,6.7083,0.125,0.7083,0.25,0.0417,0.0,1.5417,Wing G,No
5547,Troy Taylor,Evansville,35,73.6,98.2,18.5,45.4,49.08,0.61,0.454,0.0,4,182,1.78949059,0.0,95.8123,4.40774,29.7714,2.1143,4.8857,3.8857,1.3714,0.0857,6.8286,Wing G,No
5548,Mitchell Bouie,South Dakota,23,16.9,84.0,21.7,50.8,48.22,0.278,0.508,0.0,4,193,0.36835736,0.0,103.369,-9.99725,8.6957,0.6522,1.3477999999999999,0.3043,0.1739,0.08700000000000001,3.0,PF/C,No
5549,John Underwood,Cal St. Fullerton,21,11.8,73.4,11.2,50.0,47.14,0.333,0.5,0.0,3,205,0.0,0.0,98.5635,-4.56198,6.5238,0.2857,0.8571000000000001,0.0,0.1429,0.619,1.0,C,No
5550,Sam Leclerc,Bryant,17,17.2,55.6,14.4,19.4,31.09,0.75,0.333,0.091,2,185,0.6665911,0.0,107.725,-11.2351,12.1765,0.058800000000000005,1.2353,0.5882000000000001,0.4118,0.0,1.4118,Wing G,No
5551,Bryan Bouchie,Evansville,11,15.6,90.2,25.3,51.0,54.58,0.6000000000000001,0.52,0.0,2,208,0.11763183,0.0,99.9088,-4.73602,16.636400000000002,0.8182,2.6364,0.18180000000000002,0.4545,0.5455,7.1818,C,No
5553,Mike Washington,Arkansas,29,56.8,103.9,24.7,50.8,54.85,0.65,0.526,0.231,4,205,0.4230662,0.0,100.546,1.54921,25.3793,2.0345,4.069,0.7586,0.6552,1.2759,12.4828,PF/C,No
5555,Stef Welsh,Arkansas,29,44.1,90.2,19.4,43.9,46.96,0.646,0.451,0.28600000000000003,4,190,1.3541566,0.0,106.273,-1.54365,19.6897,0.3793,1.2759,2.2414,0.7586,0.0345,5.7586,Combo G,No
5556,Alec Williams,San Diego St.,19,14.2,86.8,21.8,48.2,50.69,0.667,0.5,0.28600000000000003,3,198,0.17648375,0.0,97.9653,-4.6241,9.7368,0.4737,1.1053,0.1579,0.1579,0.1053,3.3684,Wing F,No
5558,Zack Moritz,Boise St.,32,23.7,101.7,18.4,52.0,54.26,0.6000000000000001,0.52,0.0,4,208,0.57147212,0.0,100.205,-1.48562,10.2812,0.875,1.1875,0.375,0.25,0.1562,3.1875,C,No
5559,Milton Burton,Hartford,30,85.8,95.2,19.5,44.1,46.1,0.6920000000000001,0.468,0.278,4,195,1.31914215,0.0,96.0856,1.7090100000000001,36.1667,1.4667,3.7667,2.0667,2.2333,0.5,10.9,Wing G,No
5560,Ross Erickson,Hartford,25,10.7,90.3,16.0,50.0,53.1,1.0,0.556,0.28600000000000003,2,198,0.125,0.0,103.182,-7.73663,5.4,0.2,0.36,0.04,0.16,0.04,1.44,Wing G,No
5561,Amath M'Baye,Oklahoma,32,62.0,98.8,22.8,48.3,52.1,0.75,0.496,0.279,3,203,0.40676864,0.0,97.5049,2.68638,25.0,1.7187999999999999,3.4688,0.75,0.6875,0.75,10.0625,Wing F,No
5562,Darius Johnson-Odom,Marquette,34,80.0,109.3,25.4,52.9,56.8,0.764,0.493,0.385,4,187,1.16252286,55.0,97.9151,4.39742,32.9412,0.6471,2.8529,2.7353,0.9412,0.11760000000000001,18.3235,Combo G,Yes
